년도,부류,부류 상세,도매시장,공판장,물량,금액,단위
"2014","청과","과일","서울가락","서울청과","94911","213297",톤, 백만원
"2014","청과","과일","서울가락","중앙청과","100047","224134",톤, 백만원
"2014","청과","과일","서울가락","동부팜청과","41622","84052",톤, 백만원
"2014","청과","과일","서울가락","한국청과","43210","90464",톤, 백만원
"2014","청과","과일","서울가락","대아청과","0","0",톤, 백만원
"2014","청과","과일","서울가락","농협가락(공)","69755","150155",톤, 백만원
"2014","청과","과일","서울가락","상장예외","11663","42358",톤, 백만원
"2014","청과","과일","서울강서","서부청과","23061","45705",톤, 백만원
"2014","청과","과일","서울강서","강서청과","10653","18987",톤, 백만원
"2014","청과","과일","서울강서","농협강서(공)","21231","42202",톤, 백만원
"2014","청과","과일","서울강서","시장도매인","131612","275330",톤, 백만원
"2014","청과","과일","부산엄궁","부산청과","32416","35194",톤, 백만원
"2014","청과","과일","부산엄궁","항도청과","22610","28350",톤, 백만원
"2014","청과","과일","부산엄궁","농협부산(공)","29026","38092",톤, 백만원
"2014","청과","과일","부산엄궁","상장예외","0","0",톤, 백만원
"2014","청과","과일","부산반여","동부청과","21897","47030",톤, 백만원
"2014","청과","과일","부산반여","부산중앙청과","19199","41327",톤, 백만원
"2014","청과","과일","부산반여","농협반여(공)","23704","50080",톤, 백만원
"2014","청과","과일","부산반여","상장예외","0","0",톤, 백만원
"2014","청과","과일","대구북부","대구중앙청과","24646","51959",톤, 백만원
"2014","청과","과일","대구북부","효성청과","12546","24559",톤, 백만원
"2014","청과","과일","대구북부","대양청과","9515","17045",톤, 백만원
"2014","청과","과일","대구북부","농협북대구(공)","17915","36189",톤, 백만원
"2014","청과","과일","대구북부","대구경북원예농협(공)","6685","12968",톤, 백만원
"2014","청과","과일","대구북부","상장예외","0","0",톤, 백만원
"2014","청과","과일","인천구월","인천농산","11135","23193",톤, 백만원
"2014","청과","과일","인천구월","대인농산","10885","19515",톤, 백만원
"2014","청과","과일","인천구월","덕풍청과","12003","24496",톤, 백만원
"2014","청과","과일","인천구월","인천원예농협구월(공)","10941","20903",톤, 백만원
"2014","청과","과일","인천삼산","부평농산","16012","32973",톤, 백만원
"2014","청과","과일","인천삼산","경인농산","12743","25504",톤, 백만원
"2014","청과","과일","인천삼산","인천원예농협삼산(공)","14029","27968",톤, 백만원
"2014","청과","과일","광주각화","광주청과","14857","28970",톤, 백만원
"2014","청과","과일","광주각화","광주중앙청과","8762","15339",톤, 백만원
"2014","청과","과일","광주각화","광주원예농협(공)","27476","53190",톤, 백만원
"2014","청과","과일","광주서부","두레청과","23866","49366",톤, 백만원
"2014","청과","과일","광주서부","호남청과","24239","50933",톤, 백만원
"2014","청과","과일","광주서부","농협광주(공)","18382","39423",톤, 백만원
"2014","청과","채소","서울가락","서울청과","278280","444278",톤, 백만원
"2014","청과","채소","서울가락","중앙청과","248644","437463",톤, 백만원
"2014","청과","채소","서울가락","동부팜청과","336423","496000",톤, 백만원
"2014","청과","채소","서울가락","한국청과","395701","509720",톤, 백만원
"2014","청과","채소","서울가락","대아청과","421795","193943",톤, 백만원
"2014","청과","채소","서울가락","농협가락(공)","148959","285778",톤, 백만원
"2014","청과","채소","서울가락","상장예외","225077","429361",톤, 백만원
"2014","청과","채소","서울강서","서부청과","94695","98298",톤, 백만원
